Data;IPCA  (% a.m.);INPC  (% a.m.);Salário mínimo real;Salário mínimo vigente  - R$;Taxa de desempego (desocupação); Endividamento e inadimplência do consumidor;Intenção de consumo das famílias (ICF) - Abaixo de 10 salários min;Intenção de consumo das famílias (ICF) - Acima de 10 salários min
2019-01;0,32;0,36;1363,03;998;12,2;0,6;93,03;109,96
2019-02;0,43;0,54;1355,7;998;12,6;0,62;95,38;113,66
2019-03;0,75;0,77;1345,34;998;12,8;0,62;94,92;113,3
2019-04;0,57;0,6;1337,32;998;12,6;0,63;93,06;111,32
2019-05;0,13;0,15;1335,32;998;12,4;0,63;91,48;109,62
2019-06;0,01;0,01;1335,19;998;12,1;0,64;88,71;103,99
2019-07;0,19;0,1;1333,85;998;12;0,64;87,55;101
2019-08;0,11;0,12;1332,25;998;11,9;0,65;89,16;102,86
2019-09;-0,04;-0,05;1332,92;998;11,9;0,65;90,16;104,01
2019-10;0,1;0,04;1332,39;998;11,8;0,65;90,91;105,25
2019-11;0,51;0,54;1325,23;998;11,3;0,65;92,43;109,06
2019-12;1,15;1,22;1309,26;998;11,1;0,66;93,18;111,93
2020-01;0,21;0,19;1360,46;1039;11,4;0,65;93,61;113,84
2020-02;0,25;0,17;1366;1045;11,8;0,65;95,52;117,27
2020-03;0,07;0,18;1363,54;1045;12,4;0,66;96,08;118,25
2020-04;-0,31;-0,23;1366,68;1045;12,7;0,67;92,67;110,1
2020-05;-0,38;-0,25;1370,11;1045;13,1;0,66;79,84;90,97
2020-06;0,26;0,3;1366,01;1045;13,6;0,67;67,48;78,35
2020-07;0,36;0,44;1360,03;1045;14,1;0,67;64,15;75,67
2020-08;0,24;0,36;1355,15;1045;14,8;0,67;64,37;75,02
2020-09;0,64;0,87;1343,46;1045;14,9;0,67;65,77;77,06
2020-10;0,86;0,89;1331,61;1045;14,6;0,66;66,75;78,47
2020-11;0,89;0,95;1319,08;1045;14,4;0,66;67,9;79,56
2020-12;1,35;1,46;1300,1;1045;14,2;0,66;70,07;82,55
2021-01;0,25;0,27;1364,84;1100;14,5;0,66;71,36;84,64
2021-02;0,86;0,82;1353,74;1100;14,6;0,67;71,92;85,5
2021-03;0,93;0,86;1342,19;1100;14,9;0,67;71,53;85,13
2021-04;0,31;0,38;1337,11;1100;14,8;0,67;68,05;83,38
2021-05;0,83;0,96;1324,4;1100;14,7;0,68;64,38;82,21
2021-06;0,53;0,6;1316,5;1100;14,2;0,7;64;83,79
2021-07;0,96;1,02;1303,21;1100;13,7;0,71;64,76;85,61
2021-08;0,87;0,88;1291,84;1100;13,1;0,73;66,51;87,69
2021-09;1,16;1,2;1276,52;1100;12,6;0,74;68,78;90,06
2021-10;1,25;1,16;1261,88;1100;12,1;0,75;69,37;91,5
2021-11;0,95;0,84;1251,37;1100;11,6;0,76;69,56;91,36
2021-12;0,73;0,73;1242,3;1100;11,1;0,76;70,81;91,48
2022-01;0,54;0,67;1359,68;1212;11,2;0,76;72,55;93,52
2022-02;1,01;1;1346,22;1212;11,2;0,77;73,98;94,51
2022-03;1,62;1,71;1323,59;1212;11,1;0,77;74,7;94,53
2022-04;1,06;1,04;1309,96;1212;10,5;0,78;75,22;94,51
2022-05;0,47;0,45;1304,09;1212;9,8;0,77;76,27;94,78
2022-06;0,67;0,62;1296,06;1212;9,3;0,77;77,26;94,33
2022-07;-0,68;-0,6;1303,88;1212;9,1;0,78;77,94;94,5
2022-08;-0,36;-0,31;1307,94;1212;8,9;0,79;78,92;97,54
2022-09;-0,29;-0,32;1312,13;1212;8,7;0,79;80,95;101,19
2022-10;0,59;0,47;1306;1212;8,3;0,79;83,51;104,04
2022-11;0,41;0,38;1301,05;1212;8,1;0,79;85,47;106,06
2022-12;0,62;0,69;1292,14;1212;7,9;0,78;88,08;106,97
2023-01;0,53;0,46;1381,73;1302;8,4;0,78;91,18;107,67
2023-02;0,84;0,77;1371,17;1302;8,6;0,78;93,12;109
2023-03;0,71;0,64;1362,45;1302;8,8;0,78;94,1;110,26
2023-04;0,61;0,53;1355,27;1302;8,5;0,78;94,5;110,84
2023-05;0,23;0,36;1369,08;1320;8,3;0,78;94,09;110,13
2023-06;-0,08;-0,1;1370,45;1320;8;0,78;94,82;109,85
2023-07;0,12;-0,09;1371,68;1320;7,9;0,78;97,05;111,19
2023-08;0,23;0,2;1368,94;1320;7,8;0,77;98,84;113,03
2023-09;0,26;0,11;1367,44;1320;7,7;0,77;100,18;115,52
2023-10;0,24;0,12;1365,8;1320;7,6;0,77;101,56;118
2023-11;0,28;0,1;1364,44;1320;7,5;0,77;102,19;119,04
2023-12;0,56;0,55;1356,97;1320;7,4;0,78;102,42;119,47
2024-01;0,42;0,57;1443,33;1412;7,6;0,78;102,91;120,81
2024-02;0,83;0,81;1431,73;1412;7,8;0,78;102,73;120,64
2024-03;0,16;0,19;1429,01;1412;7,9;0,78;101,29;118,86
2024-04;0,38;0,37;1423,75;1412;7,5;0,78;100,12;118,28
2024-05;0,46;0,46;1417,23;1412;7,1;0,79;100,2;117,24
2024-06;0,21;0,25;1413,69;1412;6,9;0,79;99,59;115,79
2024-07;0,38;0,26;1410,02;1412;6,8;0,78;98,76;115,86
2024-08;-0,02;-0,14;1412;1412;6,6;0,78;99,36;116,86
